instance;EE-IT_runtime;EE-ITSCC_runtime;EE-PROC_runtime;EE-NIT_runtime
i23input_exp_acyclic_depvary_step5_batch_yyy01;0.27660301700234413;0.624169236049056;0.826227705925703;1.3774448921903968
i23input_exp_acyclic_depvary_step5_batch_yyy07;0.043401396833360195;0.07438337616622448;0.0722042671404779;0.07201308570802212
i23input_exp_acyclic_depvary_step5_batch_yyy08;0.12421948183327913;0.32312447018921375;0.4232994462363422;0.9249589061364532
i23input_exp_acyclic_depvary_step6_batch_yyy07;0.07400342915207148;0.12441952992230654;0.17253961879760027;0.4239949444308877
i23input_exp_acyclic_depvary_step6_batch_yyy08;0.04117779619991779;0.04102532099932432;0.17267931485548615;0.06916879490017891
i23input_exp_acyclic_depvary_step6_batch_yyy09;0.07427057437598705;0.1204572869464755;0.12304373225197196;0.27106401417404413
i23input_exp_acyclic_depvary_step6_batch_yyy10;0.04284272901713848;0.04083168599754572;0.04088231921195984;0.07145888963714242
i23input_exp_acyclic_depvary_step7_batch_yyy02;0.041545246727764606;0.03737969556823373;0.03855147073045373;0.07060988014563918
i23input_exp_acyclic_depvary_step7_batch_yyy08;0.7768506519496441;1.9797155791893601;2.8329556141979992;8.458000686950982
i23input_exp_acyclic_depvary_step8_batch_yyy03;0.07715115509927273;0.17518408503383398;0.32450425904244184;0.2726433011703193
i23input_exp_acyclic_depvary_step8_batch_yyy07;0.02433192217722535;0.041473072953522205;0.12302566785365343;0.0716180270537734
i23input_exp_acyclic_depvary_step8_batch_yyy09;0.6744190049357712;1.7798220240511;2.128302561119199;6.096795287914574
i23input_exp_acyclic_depvary_step8_batch_yyy10;0.042720149736851454;0.07422361196950078;0.17229946423321962;0.2722719572484493
i23input_exp_acyclic_indvary2_step1_batch_yyy04;0.04011246794834733;0.07120954897254705;0.07108926819637418;0.07098966790363193
i23input_exp_acyclic_indvary2_step2_batch_yyy02;1.7287795976735651;4.289175488986075;4.380197719205171;6.29612373188138
i23input_exp_acyclic_indvary2_step2_batch_yyy10;0.578457391820848;1.378732052166015;1.8789071971550584;2.5320592899806798
i23input_exp_cycles_depvary_step3_batch_yyy02;0.07531660282984376;0.1752812610939145;0.17267695209011436;0.22237600991502404
i23input_exp_cycles_depvary_step3_batch_yyy10;0.12349321274086833;0.1745337639003992;0.37301758909597993;0.2722523109987378
i23input_exp_cycles_depvary_step4_batch_yyy04;0.32617289014160633;0.8253367431461811;1.276545665692538;1.6280400985851884
i23input_exp_cycles_indvary1_step1_batch_yyy07;0.1248576482757926;0.27439128793776035;0.4242785400711;0.4729313999414444
i23input_exp_cycles_indvary1_step3_batch_yyy05;0.07485795905813575;0.12300541391596198;0.12321497919037938;0.17252083215862513
i23input_exp_cycles_indvary1_step4_batch_yyy03;0.043234122917056084;0.07141019077971578;0.07220061402767897;0.07190775126218796
i23input_exp_cycles_indvary2_step1_batch_yyy01;0.575633903965354;1.3781599407084286;5.041051142849028;304.8215967686847
i23input_exp_cycles_indvary2_step1_batch_yyy06;0.9308504741638899;2.3327253782190382;3.58533898787573;33.258104879874736
i23input_exp_cycles_indvary2_step1_batch_yyy09;0.07698956411331892;0.17497536400333047;0.17220804188400507;0.22067956579849124
