instance;EE-IT_runtime;EE-ITSCC_runtime;EE-PROC_runtime;EE-NIT_runtime
BA_100_0_4;0.040327209047973156;0.02211123611778021;0.023261726833879948;0.03916540369391441
BA_100_60_1;0.043768325354903936;0.037883647717535496;0.03619370283558965;0.22053537610918283
BA_100_80_5;0.04317615833133459;0.04123366344720125;0.1717904252000153;400
BA_100_90_1;0.042684273794293404;0.040592208970338106;0.2729861680418253;400
BA_120_10_2;0.026604690123349428;0.03963536210358143;0.023558491840958595;0.07383273215964437
BA_120_20_1;0.025712014641612768;0.02517493860796094;0.022739396896213293;0.04064320167526603
BA_120_20_2;0.023719921242445707;0.023411916103214025;0.03826917801052332;0.07351667201146483
BA_140_0_5;0.025884626898914576;0.037490400951355696;0.04056819109246135;0.07334633311256766
BA_140_20_4;0.02505088923498988;0.041362165939062834;0.040185580030083656;0.07326349196955562
BA_140_80_2;0.04046484036371112;0.04056682111695409;0.07264028210192919;9.153771237004548
BA_140_90_5;0.04271462792530656;0.0383725268766284;0.1736454451456666;400
BA_160_0_2;0.043176697101444006;0.04113519983366132;0.04803861305117607;0.0772168361581862
BA_160_20_3;0.04221582505851984;0.040456900373101234;0.04030356090515852;0.07354285893961787
BA_160_40_2;0.04307553404942155;0.040717963129282;0.0706237880513072;400
BA_160_40_3;0.04361953167244792;0.040194281842559576;0.07295285491272807;400
BA_160_50_1;0.04293243493884802;0.040629119612276554;0.07325212098658085;310.29786063497886
BA_160_60_1;0.04307262785732746;0.040171442087739706;0.1232530390843749;400
BA_160_60_4;0.04292263509705663;0.040027573239058256;0.07250960357487202;400
BA_160_70_1;0.042626751121133566;0.04048512317240238;0.32410128600895405;400
BA_160_90_2;0.042827267199754715;0.040295294020324945;0.17319771274924278;400
BA_180_30_1;0.04207856487482786;0.03955714078620076;0.04033683240413666;0.12152892164885998
BA_180_40_4;0.042039716616272926;0.03949040686711669;0.04024543333798647;1.0737365181557834
BA_180_80_5;0.041910876985639334;0.07295020902529359;0.07290906691923738;400
BA_200_0_2;0.04318822082132101;0.04097502026706934;0.04059982905164361;0.06874179979786277
BA_200_0_4;0.04231160273775458;0.0375671717338264;0.038620282895863056;0.07202847022563219
