instance;EE-IT_runtime;EE-ITSCC_runtime;EE-PROC_runtime;EE-NIT_runtime
scc_1216_42_0.3_0.05__8;0.0755279459990561;0.3232829971238971;0.37325615296140313;0.41913766926154494
scc_1236_44_0.3_0.05__7;0.07467869808897376;0.3253210140392184;0.3228865209966898;0.32066695019602776
scc_1421_35_0.4_0.1__10;0.12504564691334963;0.5256880987435579;0.5743327769450843;0.5743151772767305
scc_1496_48_0.5_0.2__5;0.12421614909544587;0.6264952318742871;0.6750360550358891;0.7247561528347433
scc_1523_46_0.4_0.1__8;0.1245221490971744;0.47625533025711775;0.4730116599239409;0.5239154123701155
scc_1701_10_0.5_0.1__6;0.42725590988993645;1.177997942082584;1.1769161578267813;1.226790439337492
scc_1723_15_0.3_0.05__9;0.42846894171088934;1.5303389970213175;1.8301503313705325;1.779624459799379
scc_1726_27_0.5_0.1__5;0.2277859142050147;0.8766441699117422;0.8756827656179667;1.0265109320171177
scc_1817_23_0.4_0.05__10;0.12735667219385505;0.9784052660688758;0.9759188033640385;0.9256718261167407
scc_1924_31_0.4_0.1__1;0.177551562897861;1.0789182148873806;1.076299977954477;1.0765079059638083
scc_1985_26_0.4_0.1__3;0.22650874266400933;1.1285013747401536;1.1771416356787086;1.1269579101353884
scc_226_18_0.5_0.1__10;0.029045986011624336;0.0421155970543623;0.03996496507897973;0.04012503381818533
scc_437_39_0.3_0.05__4;0.040171701926738024;0.07294132839888334;0.07095294212922454;0.11973347002640367
scc_5357_62_0.4_0.1__8;0.7773851561360061;7.808029163163155;7.254747931845486;7.253802903927863
scc_5699_47_0.4_0.1__1;1.6343243978917599;17.555154784116894;17.955870533827692;18.053371170070022
scc_6043_65_0.5_0.2__9;1.482998798135668;10.620046311058104;11.765219218097627;10.517022036015987
scc_6397_56_0.3_0.05__8;0.9813381861895323;9.617302019149065;9.816570335999131;9.563884141854942
scc_6552_62_0.4_0.2__2;2.5882347603328526;24.034197696018964;24.46048645488918;24.783657896332443
scc_658_18_0.5_0.2__10;0.07740176795050502;0.1739050829783082;0.17277916008606553;0.172226392198354
scc_6634_44_0.4_0.1__3;3.0883818278089166;21.171656963881105;25.349549822043628;24.284728549886495
scc_7620_55_0.3_0.1__4;3.4408447151072323;52.41813893103972;53.4638796010986;51.8068861248903
scc_7685_43_0.3_0.1__2;5.352143867872655;44.430053105112165;44.48431007284671;43.822414653375745
scc_925_45_0.3_0.05__1;0.07700112834572792;0.1728378338739276;0.22021540999412537;0.2721028761006892
scc_9394_40_0.4_0.1__5;11.277231163345277;90.14819328812882;89.28244745498523;89.48461409192532
scc_9976_43_0.4_0.1__7;14.341895882971585;88.3356711436063;89.60632027778774;90.14329492859542
